Date,Item,Quantity,Amount,Status
2026-05-20 17:09:18.907905,NC 25W PUMP,1.0,Rs 600.00,#16690
2026-05-20 17:01:58.511032,SUFI SUPPLY 5935,1.0,Rs 1100.00,#16689
2026-05-20 17:01:11.608163,STEEL FAN 7757,1.0,Rs 1100.00,#16688
2026-05-20 17:01:11.608163,3.5 ADP,1.0,Rs 450.00,#16688
2026-05-20 17:01:11.608163,H POWER SUPPLY DIMMMER,1.0,Rs 1250.00,#16688
2026-05-20 17:01:11.608163,SJ MALE FEMALE,1.0,Rs 120.00,#16688
2026-05-20 17:00:19.783724,GLOW LOVELY FACE WASH L,1.0,Rs 352.50,#16687
2026-05-20 17:00:19.783724,MEDIA STAR ANDRIOD BOX,1.0,Rs 4700.00,#16687
2026-05-20 16:55:58.744014,BALINO MOTOR shibo,1.0,Rs 1100.00,#16686
2026-05-20 16:54:13.829724,RSD SOLAR CONTROLLAR 30A,1.0,Rs 1600.00,#16685
2026-05-20 16:48:30.331573,ME&MY XL DIAPERS,1.0,Rs 1950.00,#16684
2026-05-20 16:48:30.331573,JHONSONS LINERS BLUE,1.0,Rs 150.00,#16684
2026-05-20 16:47:41.427143,AC DC CIRCUT hp,1.0,Rs 1200.00,#16683
2026-05-20 16:32:18.750917,dc wire,6.0,Rs 60.00,#16681
2026-05-20 16:32:18.750917,GT 9W DC BULB,1.0,Rs 150.00,#16681
2026-05-20 16:32:18.750917,HMA 2PIN SHOE HOLDER,1.0,Rs 50.00,#16681
2026-05-20 16:32:18.750917,CHUNTI L,1.0,Rs 50.00,#16681
2026-05-20 16:32:18.750917,BATTERY CHUNTI S,1.0,Rs 30.00,#16681
2026-05-20 16:32:18.750917,INSECT AGAR BATI,1.0,Rs 100.00,#16681
2026-05-20 16:27:41.289894,NC 25W PUMP,2.0,Rs 1200.00,#16680
2026-05-20 16:27:41.289894,COOLER PIPE,2.0,Rs 100.00,#16680
2026-05-20 16:27:41.289894,DUMY PRODUCT 2,3.0,Rs 90.00,#16680
2026-05-20 16:22:37.421132,CA 25W PUMP,1.0,Rs 500.00,#16679
2026-05-20 16:15:15.265569,T SET COOLER,1.0,Rs 80.00,#16678
2026-05-20 16:10:09.508062,BOLI SHAVER RSCWA1,1.0,Rs 1300.00,#16677
2026-05-20 16:09:48.259595,BHM MOTOR AC,1.0,Rs 4200.00,#16676
2026-05-20 16:00:55.505507,STEEL FAN 7756,1.0,Rs 900.00,#16675
2026-05-20 15:53:20.816615,DC MOVING MOTOR,1.0,Rs 200.00,#16674
2026-05-20 15:47:34.106084,balino japani motor,1.0,Rs 2000.00,#16673
2026-05-20 15:41:12.886152,NATURAL CARE TISSUE ROLL,1.0,Rs 500.00,#16672
2026-05-20 15:41:12.886152,SHAVING GEL LARGE,1.0,Rs 180.00,#16672
2026-05-20 15:41:12.886152,SHAVING GEL SMALL,2.0,Rs 260.00,#16672
2026-05-20 15:41:12.886152,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16672
2026-05-20 15:41:12.886152,BARBER POWDER,1.0,Rs 120.00,#16672
2026-05-20 15:41:12.886152,JOLLY SHAVING CREAM,1.0,Rs 180.00,#16672
2026-05-20 15:41:12.886152,DUMY PRODUCT 2,2.0,Rs 200.00,#16672
2026-05-20 15:41:12.886152,MULTI PLUG 3,1.0,Rs 90.00,#16672
2026-05-20 15:41:12.886152,CHERRY HAIR BRUSH,1.0,Rs 200.00,#16672
2026-05-20 15:41:12.886152,AFTER SHAVE BARRI,1.0,Rs 300.00,#16672
2026-05-20 15:40:49.251984,4.5 V CHARGER,1.0,Rs 500.00,#16671
2026-05-20 15:38:41.886206,PATRI LIGHT 219L,2.0,Rs 600.00,#16670
2026-05-20 15:34:26.724011,BLACK ROSE 5,1.0,Rs 220.00,#16669
2026-05-20 15:33:45.428637,SHINON HAIR STRAGHTNER 3IN1,1.0,Rs 2100.00,#16668
2026-05-20 15:32:47.807792,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16667
2026-05-20 15:32:47.807792,T RELAY,1.0,Rs 300.00,#16667
2026-05-20 15:30:43.394889,ZUODU FOLDING UMBRELLA,1.0,Rs 1200.00,#16666
2026-05-20 15:30:43.394889,CHARGING FAN M J,1.0,Rs 700.00,#16666
2026-05-20 15:00:22.279729,OTO DC PAR 3 WALA,1.0,Rs 200.00,#16665
2026-05-20 15:00:22.279729,BALINO RING,1.0,Rs 50.00,#16665
2026-05-20 15:00:22.279729,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16665
2026-05-20 15:00:22.279729,H POWER 6G SUPPLY,1.0,Rs 1150.00,#16665
2026-05-20 15:00:22.279729,DC MOVING MOTOR,1.0,Rs 200.00,#16665
2026-05-20 15:00:22.279729,dc wire,5.0,Rs 200.00,#16665
2026-05-20 15:00:22.279729,BALINO MOTOR shibo,1.0,Rs 1100.00,#16665
2026-05-20 14:54:05.711631,OTO DC PAR 3 WALA,1.0,Rs 200.00,#16664
2026-05-20 14:51:49.111737,DC MOTOR 775,1.0,Rs 500.00,#16663
2026-05-20 14:45:00.641193,BALINO MOTOR shibo,1.0,Rs 1100.00,#16662
2026-05-20 14:37:06.726789,MOVING MOTOR DC,1.0,Rs 200.00,#16661
2026-05-20 14:36:24.292348,COMPUTER SUPPLY,1.0,Rs 2000.00,#16660
2026-05-20 14:24:16.940660,H POWER SHAFI PLUS 15W,1.0,Rs 400.00,#16659
2026-05-20 14:23:27.412980,DC MOVING MOTOR,1.0,Rs 200.00,#16658
2026-05-20 14:12:07.871122,BALINO MOTOR shibo,1.0,Rs 1100.00,#16657
2026-05-20 14:10:38.280894,STEEL FAN 7757,1.0,Rs 950.00,#16656
2026-05-20 14:10:38.280894,3.5 ADP,1.0,Rs 500.00,#16656
2026-05-20 14:07:45.027800,COOLER SUPPLY L,1.0,Rs 1400.00,#16655
2026-05-20 14:07:45.027800,MALE FEMALE PROCLYEN,1.0,Rs 120.00,#16655
2026-05-20 14:07:45.027800,SHOOES BRUSH LC,1.0,Rs 70.00,#16655
2026-05-20 14:07:45.027800,DC WIRE 10MM,2.0,Rs 120.00,#16655
2026-05-20 13:56:47.055636,BALINO MOTOR shibo,1.0,Rs 1100.00,#16654
2026-05-20 13:53:19.008139,NIVEA LOTION 100ML,1.0,Rs 440.00,#16653
2026-05-20 13:53:19.008139,DOVE SHAMPOO 375ML,1.0,Rs 840.00,#16653
2026-05-20 13:43:23.247342,BEN10 TISSUE,1.0,Rs 150.00,#16652
2026-05-20 13:37:31.089333,SOLAR BOX LOCAL 3048,1.0,Rs 300.00,#16651
