Date,Total
2026-04-20,231562.0
2026-04-21,383019.0
2026-04-22,298610.0
2026-04-23,322475.0
2026-04-24,76650.0
2026-04-25,314256.0
2026-04-26,278832.9
2026-04-27,337927.0
2026-04-28,406688.0
2026-04-29,307041.01999999996
2026-04-30,324279.0
2026-05-01,35730.0
2026-05-02,476872.99
2026-05-03,335467.0
2026-05-04,318856.76
2026-05-05,460706.0
2026-05-06,414460.0
2026-05-07,216022.96
2026-05-09,384265.0
2026-05-10,422074.69
2026-05-11,234521.0
2026-05-12,325704.8
2026-05-13,264473.0
2026-05-14,256533.0
2026-05-15,7230.0
2026-05-16,329284.0
2026-05-17,393440.0
2026-05-18,565130.2
2026-05-19,515937.55000000005
2026-05-20,210198.5
